位置,最常用英雄名,使用局数,胜率最高英雄名,胜率
TOP,姬小满,202,蒙恬,0.714285714
TOP,狂铁,172,司空震,0.571428571
TOP,达摩,168,达摩,0.56547619
TOP,亚连,168,曹操,0.55
TOP,夏洛特,118,马超,0.545454545
TOP,孙策,84,关羽,0.533333333
TOP,曹操,80,狂铁,0.505813953
TOP,关羽,30,姬小满,0.504950495
TOP,蒙恬,14,夏洛特,0.483050847
TOP,马超,11,孙策,0.464285714
JUN,铠,146,大司命,0.888888889
JUN,杨玉环,146,娜可露露,0.777777778
JUN,夏侯,137,杨玉环,0.630136986
JUN,裴擒虎,104,,0.575757576
JUN,镜,93,铠,0.575342466
JUN,兰陵王,89,橘右京,0.545454545
JUN,露娜,60,兰陵王,0.539325843
JUN,曹操,41,露娜,0.516666667
JUN,海诺,39,哪吒,0.516129032
JUN,,33,海诺,0.512820513
MID,沈梦溪,187,不知火舞,0.617886179
MID,王昭君,180,海诺,0.6
MID,弈星,158,甄姬,0.591836735
MID,不知火舞,123,西施,0.58490566
MID,海月,64,沈梦溪,0.577540107
MID,干将莫邪,55,嬴政,0.545454545
MID,西施,53,姜子牙,0.538461538
MID,甄姬,49,王昭君,0.511111111
MID,安琪拉,43,干将莫邪,0.490909091
MID,周瑜,36,上官婉儿,0.428571429
BOT,公孙离,167,后羿,0.714285714
BOT,孙尚香,153,蒙,0.692307692
BOT,戈娅,145,鲁班七号,0.592592593
BOT,敖隐,125,马可波罗,0.580645161
BOT,狄仁杰,109,公孙离,0.526946108
BOT,黄忠,98,狄仁杰,0.513761468
BOT,伽罗,71,孙尚香,0.509803922
BOT,老夫子,58,虞姬,0.5
BOT,鲁班七号,54,敖隐,0.48
BOT,马可波罗,31,戈娅,0.475862069
SUP,张飞,145,孙膑,0.648648649
SUP,牛魔,140,盾山,0.615384615
SUP,朵莉亚,134,张飞,0.572413793
SUP,鲁班大师,122,庄周,0.566037736
SUP,太乙真人,102,太乙真人,0.529411765
SUP,苏烈,95,桑启,0.525423729
SUP,孙膑,74,蔡文姬,0.513513514
SUP,大乔,67,廉颇,0.5
SUP,桑启,59,钟馗,0.5
SUP,庄周,53,牛魔,0.485714286
